Theme,URL,Image URL,Lines,Author
COMMON GROUND,/inspirational-quotes/8421-we-all-come-from-different-paths-in-life-but-we,https://assets.passiton.com/quotes/quote_artwork/8421/medium/20240308_friday_quote.jpg,We all come from different paths in life but we can find common ground.,<Author:0x00007f7373c1c7d8>
COMMON GROUND,/inspirational-quotes/3463-we-all-live-with-the-objective-of-being-happy,https://assets.passiton.com/quotes/quote_artwork/3463/medium/20240307_thursday_quote.jpg,We all live with the objective of being happy; our lives are all different and yet the same.,<Author:0x00007f7373c05c18>
COMMON GROUND,/inspirational-quotes/8422-we-must-seek-above-all-a-world-of-peace-a,https://assets.passiton.com/quotes/quote_artwork/8422/medium/20240306_wednesday_quote_alt.jpg,"We must seek, above all, a world of peace; a world in which peoples dwell together in mutual respect and work together in mutual regard.",<Author:0x00007f7373c4ff70>
COMMON GROUND,/inspirational-quotes/8420-by-mutual-respect-understanding-and-with-good,https://assets.passiton.com/quotes/quote_artwork/8420/medium/20240305_tuesday_quote.jpg,"By mutual respect, understanding and with good will we can find acceptable solutions to any problems which exist or may arise between us.",<Author:0x00007f7373c3e360>
COMMON GROUND,/inspirational-quotes/7619-we-can-find-common-ground-only-by-moving-to,https://assets.passiton.com/quotes/quote_artwork/7619/medium/20240304_monday_quote.jpg,We can find common ground only by moving to higher ground.,<Author:0x00007f7373c87e70>
DRIVE,/inspirational-quotes/8419-i-shall-either-find-a-way-or-make-one,https://assets.passiton.com/quotes/quote_artwork/8419/medium/20240301_friday_quote.jpg,"I shall either find a way, or make one.",<Author:0x00007f7373c74938>
DRIVE,/inspirational-quotes/6266-act-as-if-what-you-do-makes-a-difference-it,https://assets.passiton.com/quotes/quote_artwork/6266/medium/20240229_thursday_quote.jpg,Act as if what you do makes a difference. It does. ,<Author:0x00007f7373cbd818>
DRIVE,/inspirational-quotes/6356-obstacles-are-those-frightful-things-you-see,https://assets.passiton.com/quotes/quote_artwork/6356/medium/20240228_wednesday_quote.jpg,Obstacles are those frightful things you see when you take your eyes off the goal. ,<Author:0x00007f7373ca73b0>
DRIVE,/inspirational-quotes/5801-do-the-one-thing-you-think-you-cannot-do-fail,https://assets.passiton.com/quotes/quote_artwork/5801/medium/20240227_tuesday_quote.jpg,Do the one thing you think you cannot do. Fail at it. Try again. Do better the second time.,<Author:0x00007f7373c95098>
DRIVE,/inspirational-quotes/8418-ive-always-believed-that-success-for-anyone-is,https://assets.passiton.com/quotes/quote_artwork/8418/medium/20240226_monday_quote.jpg,"I've always believed that success for anyone is all about drive, dedication, and desire, but for me, it's also been about confidence and faith.",<Author:0x00007f7373cdeb58>
LEADERSHIP,/inspirational-quotes/8417-leaders-are-like-gardeners-as-leaders-we-are,https://assets.passiton.com/quotes/quote_artwork/8417/medium/20240223_friday_quote.jpg,Leaders are like gardeners... As leaders we are not only responsible for harvesting our own success but for cultivating the success of the next generation.,<Author:0x00007f7373cccbb0>
LEADERSHIP,/inspirational-quotes/6193-do-not-follow-where-the-path-may-lead-go,https://assets.passiton.com/quotes/quote_artwork/6193/medium/20240222_thursday_quote.jpg,Do not follow where the path may lead. Go instead where there is no path and leave a trail.,<Author:0x00007f7373d164e0>
LEADERSHIP,/inspirational-quotes/7731-leadership-is-a-two-way-street-respect-for,https://assets.passiton.com/quotes/quote_artwork/7731/medium/20240221_wednesday_quote.jpg,Leadership is a two-way street. Respect for one's superiors; care for one's crew.,<Author:0x00007f7373d04bc8>
LEADERSHIP,/inspirational-quotes/8416-a-leader-is-one-who-knows-the-way-goes-the,https://assets.passiton.com/quotes/quote_artwork/8416/medium/20240220_tuesday_quote.jpg,"A leader is one who knows the way, goes the way, and shows the way.",<Author:0x00007f7373d4e9a8>
LEADERSHIP,/inspirational-quotes/8415-leave-nothing-for-tomorrow-which-can-be-done,https://assets.passiton.com/quotes/quote_artwork/8415/medium/20240219_monday_quote.jpg,Leave nothing for tomorrow which can be done today.,<Author:0x00007f7373d3caa0>
